date,public_time_pt,timezone,video_id,duration_seconds,title,minutes_after_1130,minutes_after_1150
2026-06-21,12:28:32,PDT,V6OKiwbjDZE,1858,The Cure for Our Rebellion - Eric Geiger | Mariners Church,58.5,38.5
2026-06-14,12:32:43,PDT,KgBFtTCCS9s,1947,Misplaced Fear - Eric Geiger | Mariners Church,62.7,42.7
2026-06-07,12:31:08,PDT,2YIcu7033uw,2022,The Not-Little Sin of Complaining - Eric Geiger | Mariners Church,61.1,41.1
2026-05-31,12:28:59,PDT,HqCobXjNbnI,2142,Not Alone - Eric Geiger | Mariners Church,59.0,39.0
2026-05-24,12:33:09,PDT,hAWaaBVaMzY,1989,What Matters Most - Jared Kirkwood | Mariners Church,63.1,43.1
2026-05-17,12:27:59,PDT,2Y68TW_TrAU,2132,Living and Dying Skillfully - Steve Bang Lee | Mariners Church,58.0,38.0
2026-05-10,15:28:41,PDT,v0Nkyn6Tm2A,1789,Wisdom When Life is Complex - Eric Geiger | Mariners Church,238.7,218.7
2026-05-03,12:30:55,PDT,VH30ZBlz2AA,2153,Wisdom on Money and Contentment - Eric Geiger | Mariners Church,60.9,40.9
2026-04-26,12:43:34,PDT,qzpxdENv6a4,2175,The Gifts of Work and Rest - Kenton Beshore | Mariners Church,73.6,53.6
2026-04-19,12:26:03,PDT,H2PAN4J8nn4,1793,Making the Most of a Time for Everything - Eric Geiger | Mariners Church,56.0,36.0
2026-04-12,12:32:05,PDT,jlisTmohSlY,2105,Meaning in the Meaningless - Eric Geiger | Mariners Church,62.1,42.1
2026-04-05,17:05:26,PDT,kTZbXjZdJRc,1719,Easter at Mariners | The Thrill of Victory and the Thrill of Defeat - Eric Geiger | Mariners Church,335.4,315.4
2026-03-29,12:28:56,PDT,zBGfJIH0KVg,2256,Death of Death: The King Who Forgives and Absorbs Our Sin - Eric Geiger | Mariners Church,58.9,38.9
2026-03-22,12:30:53,PDT,6fGamCFsjyw,2251,Agony in a Garden: The King Who Sweats Blood - Eric Geiger | Mariners Church,60.9,40.9
2026-03-15,12:37:28,PDT,XFbturPLU7o,1991,Promised Comforter: The King who won't abandon us - Jared Kirkwood | Mariners Church,67.5,47.5
2026-03-08,12:33:46,PDT,Lskg54LVBy4,1703,Humility in Action: The King Who Washes Feet - Doug Fields | Mariners Church,63.8,43.8
2026-03-01,12:30:21,PST,oDIIjVpJzFA,1969,Tables Overturned: The King with Righteous Anger - Eric Geiger | Mariners Church,60.4,40.4
2026-02-22,12:31:30,PST,JpCq2Aq3Fj0,2162,The Promised King Arrives - Eric Geiger | Mariners Church,61.5,41.5
2026-02-15,12:32:23,PST,W8EmovdmstE,2170,Borders and Immigration: Why do some Christians have different views? - Eric Geiger,62.4,42.4
2026-02-08,12:32:14,PST,z_UoOx-6mz4,1843,Does God care what I do with my body? Fitness tattoos plastic surgery-all the things,62.2,42.2
2026-02-01,12:28:48,PST,8u9B8u_5ISI,2009,If Christians are to be one why are there so many denominations? - Ed Stetzer | Mariners Church,58.8,38.8
2026-01-25,14:53:08,PST,pBoMuA_H18g,1943,What about those crazy spiritual gifts? - Eric Geiger | Mariners Church,203.1,183.1
2026-01-18,12:38:17,PST,3nCjC894qHs,1940,When Should Christians Disobey the Government? - Eric Geiger | Mariners Church,68.3,48.3
2026-01-11,12:24:21,PST,IijeVM19L6s,2197,What Happens 60 Seconds After You Die? - Eric Geiger | Mariners Church,54.4,34.4
2026-01-04,12:33:04,PST,G89NLIzaKcA,2343,A Loving God-yet Conquests and Genocides in the Bible? - Eric Geiger | Mariners Church,63.1,43.1
2025-12-28,12:30:50,PST,wyjiS_jFYUs,1981,New Year Blessing - Kenton Beshore | Mariners Church,60.8,40.8

